server_id,timestamp,server_age_months,workload_type,cpu_temp_celsius,cpu_utilization_percent,memory_usage_percent,disk_io_ops_per_sec,network_throughput_mbps,fan_speed_rpm,power_draw_watts,disk_read_errors_24h,memory_errors_24h,failure_within_48h
server_463,2024-01-02 20:00:00,9,database,61.0,76.3,85.4,821,408.2,2655,240.4,2,0,0
server_270,2024-01-02 21:00:00,35,web,61.1,53.7,62.3,616,308.2,3266,281.1,1,2,0
server_189,2024-01-02 22:00:00,24,database,61.3,66.7,63.4,266,160.8,3210,299.2,0,0,0
server_445,2024-01-02 23:00:00,36,database,55.2,52.7,39.0,368,312.0,3096,284.9,3,1,0
server_174,2024-01-03 00:00:00,36,storage,48.0,52.6,84.4,396,281.5,3135,265.7,0,1,0
server_445,2024-01-03 01:00:00,14,compute,48.6,60.1,57.5,339,389.6,2866,319.9,2,1,0
server_050,2024-01-03 02:00:00,58,storage,85.2,91.1,92.3,271,263.7,2118,310.4,17,9,1
server_363,2024-01-03 03:00:00,18,database,66.5,33.9,63.1,385,349.9,3115,275.0,4,1,0
server_054,2024-01-03 04:00:00,19,compute,56.0,52.0,90.0,424,194.4,2857,337.3,4,1,0
server_243,2024-01-03 05:00:00,51,database,50.9,83.8,92.0,760,342.9,3174,259.5,0,1,0
server_319,2024-01-03 06:00:00,59,database,65.9,14.2,45.4,588,302.4,2904,261.7,0,0,0
server_130,2024-01-03 07:00:00,15,web,49.4,5.0,77.6,600,287.2,3256,239.9,4,1,0
server_484,2024-01-03 08:00:00,53,storage,56.8,39.7,65.0,570,303.1,3318,132.0,2,0,0
server_306,2024-01-03 09:00:00,36,storage,65.8,65.6,74.8,341,270.8,3277,263.0,4,0,0
server_134,2024-01-03 10:00:00,42,database,48.3,46.0,64.2,729,314.2,3376,260.0,3,3,0
server_020,2024-01-03 11:00:00,28,web,61.6,21.6,69.2,413,280.3,2996,191.9,1,0,0
server_328,2024-01-03 12:00:00,32,database,59.2,46.6,79.8,433,202.7,3300,216.7,1,0,0
server_166,2024-01-03 13:00:00,11,database,87.9,88.1,98.9,576,170.4,2298,301.4,25,10,1
server_273,2024-01-03 14:00:00,31,database,82.7,93.7,94.1,1000,250.6,1974,183.9,20,8,1
server_387,2024-01-03 15:00:00,7,web,49.2,38.8,42.5,387,268.3,3025,249.3,2,1,0
server_088,2024-01-03 16:00:00,50,compute,57.3,43.4,53.0,174,10.0,3394,293.5,3,0,0
server_315,2024-01-03 17:00:00,18,web,43.6,53.5,60.0,558,301.9,2939,195.4,2,0,0
server_013,2024-01-03 18:00:00,56,database,56.0,49.1,44.9,637,520.3,3271,254.8,0,0,0
server_241,2024-01-03 19:00:00,55,compute,59.3,34.2,51.3,413,369.0,2700,269.7,0,1,0
server_264,2024-01-03 20:00:00,24,database,62.9,65.7,39.0,381,282.9,2438,293.9,3,0,0
server_345,2024-01-03 21:00:00,6,web,43.8,60.9,51.1,246,218.5,2855,265.2,2,1,0
server_052,2024-01-03 22:00:00,45,web,65.5,9.5,67.7,567,130.2,2985,273.5,2,0,0
server_385,2024-01-03 23:00:00,37,compute,68.6,40.4,73.0,889,388.9,3299,226.1,2,3,0
server_339,2024-01-04 00:00:00,27,web,58.3,23.4,48.5,842,342.5,2931,271.5,1,1,0
server_091,2024-01-04 01:00:00,53,database,46.7,19.6,79.9,560,176.5,3484,289.8,1,0,0
server_366,2024-01-04 02:00:00,34,compute,52.4,55.7,68.7,417,396.3,3150,180.8,1,0,0
server_443,2024-01-04 03:00:00,7,storage,54.6,36.6,81.5,576,384.0,2930,273.1,5,4,0
server_454,2024-01-04 04:00:00,45,database,57.2,42.1,33.4,435,232.9,3070,387.9,0,4,0
server_427,2024-01-04 05:00:00,43,storage,55.2,31.6,64.7,372,270.8,2684,223.2,1,0,0
server_263,2024-01-04 06:00:00,53,compute,57.2,52.4,69.2,533,325.0,2932,258.4,1,1,0
server_430,2024-01-04 07:00:00,16,compute,54.3,58.6,34.2,756,355.3,2946,212.1,1,5,0
server_034,2024-01-04 08:00:00,22,database,57.1,88.4,96.2,462,190.5,3058,312.1,3,1,0
server_205,2024-01-04 09:00:00,56,web,51.3,41.4,50.5,460,356.7,2912,275.2,2,0,0
server_080,2024-01-04 10:00:00,48,database,52.3,16.0,68.2,447,305.9,3140,246.4,6,0,0
server_419,2024-01-04 11:00:00,13,web,50.4,34.9,73.9,659,411.1,2518,290.4,1,0,0
server_049,2024-01-04 12:00:00,27,web,70.3,61.9,61.5,670,376.3,3331,297.4,6,1,0
server_359,2024-01-04 13:00:00,9,database,66.7,29.5,80.8,285,305.8,2993,191.7,2,0,0
server_387,2024-01-04 14:00:00,16,compute,59.4,15.4,89.9,465,391.7,3229,273.0,5,2,0
server_001,2024-01-04 15:00:00,13,database,65.6,30.0,43.4,721,149.1,3312,267.9,4,0,0
server_389,2024-01-04 16:00:00,14,storage,61.4,34.3,61.7,433,262.6,3055,250.6,1,1,0
server_053,2024-01-04 17:00:00,31,compute,56.5,23.3,73.7,778,202.7,3260,250.5,3,0,0
server_105,2024-01-04 18:00:00,7,web,43.0,49.3,35.5,637,244.5,3108,290.6,2,1,0
server_259,2024-01-04 19:00:00,21,compute,52.9,43.4,76.0,851,243.2,3095,179.2,2,1,0
server_309,2024-01-04 20:00:00,36,database,52.3,60.8,85.6,438,173.7,2853,225.5,2,2,0
server_476,2024-01-04 21:00:00,11,compute,45.9,36.1,79.3,640,395.3,3362,256.0,3,0,0
server_190,2024-01-04 22:00:00,58,web,43.1,56.2,66.6,647,375.1,3033,223.7,3,0,0
server_401,2024-01-04 23:00:00,26,web,58.9,35.2,83.1,715,239.3,3418,246.0,1,1,0
server_217,2024-01-05 00:00:00,31,compute,57.6,22.4,65.4,571,68.5,2665,233.4,3,0,0
server_043,2024-01-05 01:00:00,24,storage,45.7,34.1,40.2,723,249.5,2822,302.9,1,1,0
server_161,2024-01-05 02:00:00,33,web,49.0,12.6,52.2,374,295.1,2669,250.3,3,1,0
server_201,2024-01-05 03:00:00,13,storage,64.3,80.8,56.2,489,435.7,3326,336.8,1,2,0
server_445,2024-01-05 04:00:00,19,web,48.0,47.8,59.0,202,243.6,3179,250.3,1,3,0
server_483,2024-01-05 05:00:00,29,compute,56.4,29.1,58.6,446,397.8,2539,305.0,5,0,0
server_269,2024-01-05 06:00:00,53,web,53.5,37.4,54.9,330,249.5,2747,278.3,2,0,0
server_350,2024-01-05 07:00:00,49,storage,59.1,5.0,63.3,566,356.9,2660,322.2,0,0,0
server_303,2024-01-05 08:00:00,42,storage,48.2,73.7,82.6,697,380.8,3308,234.4,3,0,0
server_270,2024-01-05 09:00:00,31,compute,55.7,71.7,63.2,613,357.8,3362,261.3,2,0,0
server_455,2024-01-05 10:00:00,36,storage,86.4,88.6,94.8,656,204.3,2137,185.0,28,12,1
server_461,2024-01-05 11:00:00,56,storage,87.8,96.6,97.1,519,263.6,2012,178.7,24,12,1
server_214,2024-01-05 12:00:00,37,compute,55.6,19.6,61.9,472,358.7,2406,293.2,0,1,0
server_251,2024-01-05 13:00:00,55,web,83.1,89.3,92.8,265,142.0,2165,213.6,24,14,1
server_189,2024-01-05 14:00:00,46,compute,72.5,11.1,78.7,115,379.0,3371,300.3,2,3,0
server_295,2024-01-05 15:00:00,7,web,75.5,41.8,77.2,198,178.7,3467,248.2,2,0,0
server_212,2024-01-05 16:00:00,30,web,49.9,66.2,64.6,367,164.8,2963,295.4,1,2,0
server_207,2024-01-05 17:00:00,57,web,36.5,37.3,66.2,682,246.7,2383,290.5,0,1,0
server_236,2024-01-05 18:00:00,49,database,59.8,52.0,49.9,254,231.5,3147,128.4,1,3,0
server_337,2024-01-05 19:00:00,7,web,56.5,64.6,72.7,336,318.2,2854,235.7,0,1,0
server_366,2024-01-05 20:00:00,47,compute,63.5,12.5,50.0,406,326.7,3531,197.8,2,0,0
server_052,2024-01-05 21:00:00,6,compute,57.3,81.9,70.2,758,307.0,3206,100.0,1,1,0
server_279,2024-01-05 22:00:00,41,compute,55.5,68.1,60.6,492,201.7,3060,216.3,4,1,0
server_409,2024-01-05 23:00:00,17,database,82.5,91.7,98.0,527,420.9,2256,167.9,15,9,1
server_216,2024-01-06 00:00:00,14,storage,87.3,90.0,94.2,582,306.5,1935,248.3,19,11,1
server_251,2024-01-06 01:00:00,41,database,43.9,64.4,68.4,779,393.1,2785,212.2,3,2,0
server_187,2024-01-06 02:00:00,46,compute,88.1,90.7,97.5,517,70.6,1966,275.4,16,14,1
server_379,2024-01-06 03:00:00,33,compute,84.5,93.3,96.1,147,353.5,2114,254.5,22,14,1
server_492,2024-01-06 04:00:00,43,storage,55.8,35.9,84.0,525,242.7,3327,295.6,7,1,0
server_040,2024-01-06 05:00:00,38,database,53.2,54.2,65.0,788,375.9,3492,293.0,2,0,0
server_156,2024-01-06 06:00:00,47,compute,58.5,71.4,71.2,628,478.6,2528,292.0,1,0,0
server_014,2024-01-06 07:00:00,51,web,63.0,5.0,61.2,543,183.2,3382,265.4,2,2,1
server_300,2024-01-06 08:00:00,27,web,84.0,97.6,95.4,571,385.8,1921,232.8,15,8,1
server_064,2024-01-06 09:00:00,30,compute,59.6,59.5,65.3,133,240.1,3243,225.4,1,1,0
server_344,2024-01-06 10:00:00,23,web,48.2,10.8,51.1,105,112.9,2572,215.7,2,0,0
server_326,2024-01-06 11:00:00,11,storage,53.8,50.6,66.6,679,392.7,2885,240.1,2,1,0
server_008,2024-01-06 12:00:00,23,compute,54.4,29.1,20.0,757,481.9,3194,294.0,3,0,0
server_343,2024-01-06 13:00:00,57,database,59.1,52.9,54.0,374,511.1,3000,298.4,2,1,0
server_128,2024-01-06 14:00:00,21,compute,58.1,43.1,59.8,539,330.1,2964,173.6,1,3,0
server_491,2024-01-06 15:00:00,20,storage,71.4,26.1,45.7,624,155.6,2898,259.7,0,2,0
server_135,2024-01-06 16:00:00,53,database,83.5,95.6,95.7,832,279.3,2117,253.3,23,11,1
server_471,2024-01-06 17:00:00,13,storage,58.1,36.6,53.7,484,289.1,3007,197.4,1,2,0
server_062,2024-01-06 18:00:00,18,web,73.8,50.4,59.9,648,409.6,2661,288.0,2,1,0
server_138,2024-01-06 19:00:00,48,web,50.3,71.3,51.7,899,297.6,2833,346.3,3,0,0
server_498,2024-01-06 20:00:00,12,web,56.2,26.7,74.6,444,92.4,3178,228.3,0,2,0
server_080,2024-01-06 21:00:00,22,storage,47.4,45.2,68.2,513,363.0,2960,248.2,3,0,0
server_391,2024-01-06 22:00:00,55,storage,55.7,35.1,64.5,279,307.2,3148,276.3,1,1,0
server_162,2024-01-06 23:00:00,37,compute,48.8,39.6,60.9,289,390.4,2950,374.0,3,0,0
server_418,2024-01-07 00:00:00,27,database,63.4,88.1,98.0,675,324.8,2829,294.8,1,0,0
server_288,2024-01-07 01:00:00,56,database,56.2,54.1,57.6,739,368.9,3307,217.2,1,2,0
server_378,2024-01-07 02:00:00,18,storage,47.5,51.3,49.5,733,301.5,3193,211.8,4,1,0
server_260,2024-01-07 03:00:00,52,storage,61.7,55.5,42.4,293,328.4,2968,250.1,1,0,0
server_489,2024-01-07 04:00:00,28,web,56.4,53.6,73.6,459,207.9,3233,246.2,2,1,0
server_230,2024-01-07 05:00:00,59,storage,84.8,97.5,89.8,596,335.4,1811,288.5,20,12,1
server_040,2024-01-07 06:00:00,34,web,45.8,90.9,47.3,50,281.5,2828,250.1,2,0,0
server_027,2024-01-07 07:00:00,27,storage,58.0,15.7,55.7,591,349.0,3050,260.9,5,1,0
server_134,2024-01-07 08:00:00,6,database,61.2,79.7,54.6,876,181.8,3113,212.3,2,1,0
server_200,2024-01-07 09:00:00,34,compute,51.6,57.4,58.1,727,439.9,3147,242.8,3,0,0
server_327,2024-01-07 10:00:00,53,storage,44.9,48.6,33.5,50,324.8,3528,274.6,4,0,0
server_267,2024-01-07 11:00:00,10,web,54.7,38.9,72.1,579,379.3,3193,358.9,1,0,0
server_417,2024-01-07 12:00:00,40,compute,64.8,97.1,77.9,543,300.5,3197,248.1,1,1,1
server_032,2024-01-07 13:00:00,15,web,64.0,57.1,31.4,554,360.3,2674,263.8,2,1,0
server_047,2024-01-07 14:00:00,24,web,51.6,45.4,86.4,521,75.5,3796,225.2,4,1,0
server_406,2024-01-07 15:00:00,42,compute,44.7,34.3,84.3,435,289.2,2614,211.1,3,0,0
server_061,2024-01-07 16:00:00,12,compute,51.6,31.9,20.0,50,220.7,2834,275.6,2,0,0
server_215,2024-01-07 17:00:00,51,compute,51.3,46.0,27.4,562,264.0,2847,273.8,0,0,0
server_292,2024-01-07 18:00:00,40,storage,58.6,26.4,58.0,625,401.1,2906,184.5,1,2,0
server_098,2024-01-07 19:00:00,50,compute,54.2,58.6,79.7,389,140.0,2737,181.9,1,1,0
server_171,2024-01-07 20:00:00,18,storage,49.0,32.1,64.3,752,374.0,2514,297.8,2,0,0
server_359,2024-01-07 21:00:00,15,database,63.8,65.1,60.3,172,346.1,3354,211.6,3,2,0
server_213,2024-01-07 22:00:00,7,database,56.1,64.7,68.6,155,428.0,2845,257.1,3,1,0
server_474,2024-01-07 23:00:00,11,web,58.5,43.9,47.9,517,92.6,2364,264.6,2,0,0
server_034,2024-01-08 00:00:00,13,web,41.2,56.6,79.2,364,358.9,2914,258.3,1,1,0
server_448,2024-01-08 01:00:00,41,storage,35.6,57.6,58.4,694,325.3,3133,237.6,2,1,0
server_226,2024-01-08 02:00:00,30,web,43.5,15.8,35.5,414,294.7,2521,282.1,2,2,0
server_100,2024-01-08 03:00:00,49,database,51.2,79.6,48.1,772,444.4,3186,309.6,3,0,1
server_430,2024-01-08 04:00:00,52,storage,59.6,39.9,65.5,356,89.2,3095,250.0,2,1,0
server_461,2024-01-08 05:00:00,45,storage,36.3,58.9,55.7,529,312.5,2739,180.5,1,1,0
server_130,2024-01-08 06:00:00,12,compute,67.7,59.5,54.1,103,402.2,3086,193.4,0,1,0
server_256,2024-01-08 07:00:00,51,storage,56.4,5.0,63.0,489,137.5,3488,320.8,1,2,0
server_004,2024-01-08 08:00:00,28,web,65.9,31.9,65.4,515,359.4,3017,210.9,1,0,0
server_217,2024-01-08 09:00:00,24,database,47.9,61.8,41.5,742,332.5,2850,297.5,4,1,0
server_254,2024-01-08 10:00:00,51,web,59.0,46.2,78.4,198,87.0,2753,182.9,1,0,0
server_397,2024-01-08 11:00:00,27,database,55.7,58.8,58.0,443,409.7,3544,187.2,2,0,0
server_358,2024-01-08 12:00:00,18,compute,61.5,46.8,66.3,791,210.8,2937,271.7,4,0,0
server_282,2024-01-08 13:00:00,26,database,53.1,69.6,61.5,817,457.8,2929,213.9,1,1,0
server_392,2024-01-08 14:00:00,6,compute,58.8,47.3,53.8,333,357.4,3264,316.1,3,1,0
server_206,2024-01-08 15:00:00,24,web,85.1,91.2,92.0,363,330.0,2236,248.8,16,13,1
server_014,2024-01-08 16:00:00,38,compute,49.8,25.4,61.2,160,401.3,2586,205.1,3,1,0
server_345,2024-01-08 17:00:00,9,storage,56.9,42.4,61.1,75,389.4,3061,187.2,2,1,0
server_041,2024-01-08 18:00:00,47,storage,39.9,33.1,22.7,422,104.1,2853,343.2,1,1,0
server_379,2024-01-08 19:00:00,8,database,60.6,52.8,72.3,371,129.5,3354,240.4,2,0,0
server_460,2024-01-08 20:00:00,32,web,70.6,39.4,57.4,912,285.7,2655,245.5,0,0,0
server_178,2024-01-08 21:00:00,57,web,45.0,40.4,71.3,570,192.6,3238,239.1,2,0,0
server_062,2024-01-08 22:00:00,46,database,54.3,30.9,84.7,458,466.0,2412,260.7,0,1,0
server_351,2024-01-08 23:00:00,40,storage,62.0,35.8,72.4,631,200.9,3195,261.4,2,1,0
server_230,2024-01-09 00:00:00,33,compute,55.3,44.8,60.8,706,309.2,3232,251.6,1,0,0
server_240,2024-01-09 01:00:00,11,database,56.3,5.0,55.7,743,358.3,2730,163.2,2,1,0
server_051,2024-01-09 02:00:00,11,compute,84.6,88.4,97.2,552,544.4,1817,286.8,26,14,1
server_095,2024-01-09 03:00:00,49,compute,51.6,46.2,67.3,495,414.9,2962,237.2,2,1,0
server_387,2024-01-09 04:00:00,28,web,84.8,91.1,93.9,532,233.9,1814,302.9,16,14,1
server_221,2024-01-09 05:00:00,38,storage,55.3,41.1,57.3,488,352.5,3089,332.1,3,1,0
server_484,2024-01-09 06:00:00,21,compute,89.2,88.9,91.7,394,369.8,1939,249.3,24,11,1
server_406,2024-01-09 07:00:00,29,storage,54.5,55.8,30.7,709,362.2,3279,258.9,1,0,0
server_230,2024-01-09 08:00:00,10,web,67.5,31.6,82.8,461,201.9,3393,233.9,1,1,0
server_236,2024-01-09 09:00:00,46,database,51.6,76.4,48.3,297,503.2,2876,184.2,3,0,0
server_142,2024-01-09 10:00:00,47,database,45.1,62.0,57.1,504,177.6,2673,322.0,1,1,0
server_170,2024-01-09 11:00:00,18,web,87.0,92.0,89.1,643,368.0,2135,230.4,27,8,1
server_028,2024-01-09 12:00:00,52,web,49.3,39.3,81.5,209,211.8,3220,260.7,3,1,0
server_035,2024-01-09 13:00:00,17,compute,44.3,75.5,48.5,446,339.1,2817,163.9,3,1,0
server_012,2024-01-09 14:00:00,10,web,56.1,31.0,63.9,340,280.4,3137,195.0,2,1,0
server_159,2024-01-09 15:00:00,42,database,49.3,43.9,67.7,937,169.7,3269,137.6,2,1,0
server_326,2024-01-09 16:00:00,36,storage,50.0,73.1,39.2,518,52.5,3337,257.3,1,1,0
server_186,2024-01-09 17:00:00,33,storage,56.2,34.2,37.8,810,388.6,3115,204.7,1,1,0
server_242,2024-01-09 18:00:00,33,storage,42.7,67.5,49.3,549,244.1,2483,226.4,3,0,0
server_085,2024-01-09 19:00:00,35,storage,41.1,26.8,63.7,567,313.9,2911,257.0,3,3,1
server_283,2024-01-09 20:00:00,23,web,60.4,5.0,61.7,488,480.0,2937,173.2,0,4,0
server_065,2024-01-09 21:00:00,49,web,39.6,69.6,58.2,455,362.4,3026,222.5,1,2,0
server_169,2024-01-09 22:00:00,32,storage,47.2,53.8,69.8,485,10.2,2228,261.6,1,0,0
server_044,2024-01-09 23:00:00,40,web,40.6,55.1,47.1,369,177.5,2760,256.5,1,0,0
server_061,2024-01-10 00:00:00,31,compute,51.1,23.1,57.4,498,115.9,2945,140.7,1,1,0
server_440,2024-01-10 01:00:00,44,web,58.4,24.7,58.3,175,216.6,3132,271.3,0,0,0
server_133,2024-01-10 02:00:00,54,compute,55.9,68.0,47.6,535,272.9,3678,193.2,4,1,0
server_283,2024-01-10 03:00:00,56,compute,74.1,49.9,94.5,259,555.5,3198,259.4,3,0,1
server_027,2024-01-10 04:00:00,23,web,63.7,42.7,27.6,519,400.7,2701,260.2,3,1,0
server_107,2024-01-10 05:00:00,38,storage,47.6,49.4,78.6,564,335.6,2751,318.6,1,0,0
server_043,2024-01-10 06:00:00,30,compute,45.4,75.2,72.0,783,344.4,2796,249.9,0,1,0
server_339,2024-01-10 07:00:00,36,web,76.7,59.5,72.1,563,347.5,2883,227.0,3,0,0
server_285,2024-01-10 08:00:00,42,database,63.5,35.5,61.4,447,124.8,3068,198.9,3,1,0
server_445,2024-01-10 09:00:00,7,storage,59.7,16.9,80.0,374,159.1,2717,267.8,1,2,0
server_330,2024-01-10 10:00:00,38,database,55.6,56.8,53.3,643,345.5,2934,176.5,2,1,0
server_127,2024-01-10 11:00:00,44,compute,57.2,26.5,65.9,480,300.5,2940,211.9,3,2,0
server_347,2024-01-10 12:00:00,48,database,43.1,21.4,61.1,350,330.2,3101,100.7,1,0,0
server_472,2024-01-10 13:00:00,48,web,83.6,93.1,95.9,531,460.5,2204,174.9,28,14,1
server_230,2024-01-10 14:00:00,37,storage,55.6,62.4,61.8,129,230.8,2770,296.6,3,2,0
server_189,2024-01-10 15:00:00,23,compute,82.6,97.7,98.1,516,263.0,2229,206.4,28,13,1
server_224,2024-01-10 16:00:00,22,web,50.7,20.2,50.0,344,324.7,3118,233.2,2,0,0
server_384,2024-01-10 17:00:00,39,storage,67.1,80.8,83.7,435,129.8,2782,202.9,3,1,1
server_376,2024-01-10 18:00:00,44,compute,54.0,65.6,100.0,899,152.7,3210,301.4,2,1,0
server_282,2024-01-10 19:00:00,12,compute,71.6,38.9,67.8,403,436.3,3110,230.5,2,0,0
server_445,2024-01-10 20:00:00,47,compute,41.1,34.7,72.5,658,270.6,2673,251.5,1,0,0
server_120,2024-01-10 21:00:00,59,compute,50.8,46.6,63.8,710,251.0,3372,210.3,2,4,1
server_115,2024-01-10 22:00:00,58,database,42.6,35.4,66.8,671,324.1,3024,349.6,2,2,0
server_460,2024-01-10 23:00:00,40,database,45.3,89.2,68.2,574,133.1,2800,181.9,3,0,0
server_232,2024-01-11 00:00:00,35,database,86.3,91.4,97.9,278,269.3,1882,222.8,21,10,1
server_258,2024-01-11 01:00:00,17,compute,57.5,23.6,83.1,370,242.5,2996,320.4,3,1,0
server_358,2024-01-11 02:00:00,40,database,92.6,91.0,95.7,267,336.7,1915,241.7,27,13,1
server_197,2024-01-11 03:00:00,16,storage,89.8,97.7,88.5,430,89.0,2067,271.9,27,8,1
server_455,2024-01-11 04:00:00,49,compute,37.2,60.7,62.1,432,219.9,3432,281.3,0,2,0
server_410,2024-01-11 05:00:00,9,storage,66.8,58.5,62.1,317,253.9,3534,276.6,3,2,0
server_136,2024-01-11 06:00:00,30,storage,85.8,96.2,96.0,609,251.5,1831,304.9,27,8,1
server_317,2024-01-11 07:00:00,53,database,46.1,25.5,53.9,401,405.2,3021,289.1,1,0,0
server_164,2024-01-11 08:00:00,37,compute,84.4,88.5,93.7,427,221.3,2093,152.7,22,10,1
server_224,2024-01-11 09:00:00,25,database,83.6,94.7,94.3,186,607.6,2178,286.4,19,14,1
server_306,2024-01-11 10:00:00,55,database,52.4,44.5,68.5,514,374.7,3074,231.0,1,0,0
server_233,2024-01-11 11:00:00,36,database,56.2,60.5,53.2,481,251.3,2804,274.9,1,0,0
server_171,2024-01-11 12:00:00,9,compute,45.8,79.4,20.0,380,360.5,3568,191.2,3,1,0
server_151,2024-01-11 13:00:00,59,compute,89.9,92.2,91.2,576,372.7,2164,288.3,15,14,1
server_462,2024-01-11 14:00:00,43,database,47.0,40.0,60.2,524,269.0,3535,228.2,0,0,0
server_314,2024-01-11 15:00:00,58,storage,50.2,34.5,65.0,618,415.2,2853,226.5,2,1,0
server_373,2024-01-11 16:00:00,52,storage,60.2,50.5,53.7,627,202.4,3273,292.6,3,1,0
server_159,2024-01-11 17:00:00,6,compute,64.6,14.6,49.6,643,358.6,3127,222.1,2,0,0
server_095,2024-01-11 18:00:00,8,web,67.7,26.4,64.5,834,289.5,3092,250.3,1,1,0
server_471,2024-01-11 19:00:00,42,database,63.4,11.2,58.4,526,329.0,3497,256.8,4,1,0
server_232,2024-01-11 20:00:00,27,database,52.4,16.2,52.9,311,322.9,2726,262.6,3,0,0
server_179,2024-01-11 21:00:00,22,web,42.7,31.8,35.8,414,301.8,2818,233.9,6,3,0
